2024-08-15 09:07:26 [app] info: Method: GET, URL: /api-docs/swagger-ui-init.js, IP: ::1
2024-08-15 09:07:26 [app] info: Method: GET, URL: /api-docs/swagger-ui-standalone-preset.js, IP: ::1
2024-08-15 09:07:26 [app] info: Method: GET, URL: /api-docs/swagger-ui-bundle.js, IP: ::1
2024-08-15 09:07:26 [app] info: Method: GET, URL: /api-docs/favicon-16x16.png, IP: ::1
2024-08-15 09:07:41 [app] info: Method: GET, URL: /api-docs/, IP: ::1
2024-08-15 09:07:41 [app] info: Method: GET, URL: /api-docs/swagger-ui-standalone-preset.js, IP: ::1
2024-08-15 09:07:41 [app] info: Method: GET, URL: /api-docs/swagger-ui-bundle.js, IP: ::1
2024-08-15 09:07:41 [app] info: Method: GET, URL: /api-docs/swagger-ui-init.js, IP: ::1
2024-08-15 09:07:41 [app] info: Method: GET, URL: /api-docs/swagger-ui.css, IP: ::1
2024-08-15 09:09:51 [app] info: Method: GET, URL: /api-docs/, IP: ::1
2024-08-15 09:09:51 [app] info: Method: GET, URL: /api-docs/swagger-ui.css, IP: ::1
2024-08-15 09:09:51 [app] info: Method: GET, URL: /api-docs/swagger-ui-init.js, IP: ::1
2024-08-15 09:09:51 [app] info: Method: GET, URL: /api-docs/swagger-ui-standalone-preset.js, IP: ::1
2024-08-15 09:09:51 [app] info: Method: GET, URL: /api-docs/swagger-ui-bundle.js, IP: ::1
2024-08-15 09:11:40 [app] info: Method: GET, URL: /api-docs/, IP: ::1
2024-08-15 09:11:40 [app] info: Method: GET, URL: /api-docs/swagger-ui-init.js, IP: ::1
2024-08-15 09:11:40 [app] info: Method: GET, URL: /api-docs/swagger-ui.css, IP: ::1
2024-08-15 09:11:40 [app] info: Method: GET, URL: /api-docs/swagger-ui-standalone-preset.js, IP: ::1
2024-08-15 09:11:40 [app] info: Method: GET, URL: /api-docs/swagger-ui-bundle.js, IP: ::1
2024-08-15 09:13:01 [app] info: Method: GET, URL: /api-docs/, IP: ::1
2024-08-15 09:13:01 [app] info: Method: GET, URL: /api-docs/swagger-ui.css, IP: ::1
2024-08-15 09:13:01 [app] info: Method: GET, URL: /api-docs/swagger-ui-standalone-preset.js, IP: ::1
2024-08-15 09:13:01 [app] info: Method: GET, URL: /api-docs/swagger-ui-init.js, IP: ::1
2024-08-15 09:13:01 [app] info: Method: GET, URL: /api-docs/swagger-ui-bundle.js, IP: ::1
2024-08-15 09:13:26 [app] info: Method: GET, URL: /api-docs/, IP: ::1
2024-08-15 09:13:26 [app] info: Method: GET, URL: /api-docs/swagger-ui.css, IP: ::1
2024-08-15 09:13:26 [app] info: Method: GET, URL: /api-docs/swagger-ui-init.js, IP: ::1
2024-08-15 09:13:26 [app] info: Method: GET, URL: /api-docs/swagger-ui-standalone-preset.js, IP: ::1
2024-08-15 09:13:26 [app] info: Method: GET, URL: /api-docs/swagger-ui-bundle.js, IP: ::1
2024-08-15 09:13:36 [app] info: Method: GET, URL: /api-docs/, IP: ::1
2024-08-15 09:13:36 [app] info: Method: GET, URL: /api-docs/swagger-ui.css, IP: ::1
2024-08-15 09:13:36 [app] info: Method: GET, URL: /api-docs/swagger-ui-init.js, IP: ::1
2024-08-15 09:13:36 [app] info: Method: GET, URL: /api-docs/swagger-ui-standalone-preset.js, IP: ::1
2024-08-15 09:13:36 [app] info: Method: GET, URL: /api-docs/swagger-ui-bundle.js, IP: ::1
2024-08-15 09:21:11 [app] info: Method: GET, URL: /api-docs/, IP: ::1
2024-08-15 09:21:12 [app] info: Method: GET, URL: /api-docs/swagger-ui-bundle.js, IP: ::1
2024-08-15 09:21:12 [app] info: Method: GET, URL: /api-docs/swagger-ui-init.js, IP: ::1
2024-08-15 09:21:12 [app] info: Method: GET, URL: /api-docs/swagger-ui.css, IP: ::1
2024-08-15 09:21:12 [app] info: Method: GET, URL: /api-docs/swagger-ui-standalone-preset.js, IP: ::1
2024-08-15 09:21:12 [app] info: Method: GET, URL: /api-docs/favicon-16x16.png, IP: ::1
2024-08-15 09:21:17 [app] info: Method: GET, URL: /api/brands, IP: ::1
2024-08-15 09:21:21 [app] info: Method: GET, URL: /api/brands, IP: ::1
